Frequency,Absorbance
3.40234,3.57086
3.41099,3.30187
3.40756,3.02266
3.41487,2.94945
3.42279,3.77444
3.42127,3.705
3.42583,3.65252
3.42736,3.49849
3.42583,3.43608
3.42583,3.38197
3.42736,3.22795
3.42583,3.16554
3.42583,3.11143
3.42766,4.06158
3.43497,3.99666
3.42583,3.93677
3.42583,3.88266
3.42127,3.83756
3.44715,3.59411
3.44639,3.53188
3.45527,3.31877
3.45527,3.04822
3.45324,2.97836
3.4441,2.81404
3.44867,2.90873
3.44867,2.76084
3.4738,3.45482
3.4738,3.39124
3.4738,3.23838
3.47151,3.16777
3.4738,3.12069
3.49181,3.78536
3.48978,3.70888
3.48978,3.65477
3.48978,3.60066
3.48978,3.54655
3.49283,3.49317
3.49892,4.02029
3.49435,3.94859
3.49435,3.89448
3.49435,3.85931
3.50022,3.32518
3.49689,3.04407
3.49892,4.19299
3.49892,4.13888
3.49435,4.09198
3.50805,2.97091
3.52062,3.44676
3.51947,3.37507
3.51922,3.23348
3.51719,3.15701
3.51947,3.10452
3.51617,2.81724
3.52632,2.90487
3.53181,2.76853
3.53546,3.52389
3.53774,3.32099
3.53774,3.05044
3.5446,2.98762
3.55765,2.70765
3.54916,2.63923
3.54916,2.58512
3.55243,2.51594
3.5446,3.46438
3.5446,3.41027
3.5446,3.24795
3.5446,3.19384
3.5446,3.13973
3.56287,2.85418
3.54916,2.47961
3.55373,2.91249
3.572,2.79131
3.57505,2.73576
3.60854,2.69126
3.61616,2.79353
3.61311,2.61497
3.61311,2.56086
3.6192,2.49955
3.60854,2.44723
3.63138,3.35088
3.63595,3.29786
3.63595,3.24375
3.639,3.18676
3.6291,3.13038
3.62225,3.08573
3.62225,3.00862
3.62225,2.91258
3.67249,3.25534
3.68163,3.20918
3.67858,3.14984
3.69077,3.10025
3.71107,3.02513
3.71005,2.79186
3.71556,2.90756
3.71817,2.84598
3.72122,2.73236
3.71817,2.66814
3.71513,2.61421
3.73122,3.21265
3.72731,3.14864
3.7334,3.26264
3.73949,3.09852
3.75129,3.00272
3.75015,2.55632
3.75654,2.83918
3.75471,2.76848
3.75471,2.71437
3.75471,2.66026
3.74558,2.63139
3.75928,2.49343
3.774,3.19296
3.77299,2.92602
3.78212,3.50182
3.78212,3.43874
3.78212,3.38463
3.78212,3.33052
3.78212,3.27642
3.78395,3.1195
3.78517,3.06071
3.79329,3.75572
3.79126,3.679
3.79126,3.62489
3.79126,3.57078
3.79126,3.83627
3.80382,2.99873
3.80953,2.81424
3.82069,3.22789
3.81866,3.1531
3.81501,2.91069
3.81752,2.73565
3.82932,3.51438
3.82323,3.45666
3.82323,3.40255
3.8278,3.34574
3.82551,3.29704
3.83171,3.08602
3.83122,2.67006
3.8278,3.61628
3.82323,3.57299
3.84759,3.02021
3.8415,2.96429
3.84607,2.82632
3.86777,3.22608
3.86434,3.15641
3.85064,2.90478
3.8613,2.77223
3.87348,3.30901
3.87348,3.25923
3.87896,3.09907
3.8753,2.70516
3.89175,3.02178
3.90088,2.82098
3.89697,2.6517
3.90088,2.49836
3.89784,3.18712
3.91154,2.96529
3.90088,2.57749
3.90088,3.27009
3.92144,3.10238
3.9123,2.74254
3.90545,2.43952
3.91459,2.90217
3.94085,3.0368
3.92829,2.50178
3.96826,3.12612
3.98858,3.05161
3.99224,3.12953
4.00503,2.9867
3.99681,2.9104
3.99224,2.86169
4.00137,2.79407
4.00137,2.73996
4.00137,2.68585
3.99909,2.62633
4.02269,2.56684
4.0166,2.50281
4.03009,2.45245
4.02878,2.38505
4.02878,2.33094
4.02878,2.27683
4.02878,2.18809
4.02878,2.13939
4.05619,2.64941
4.06663,2.82637
4.06532,2.75304
4.06837,2.70759
4.06761,2.56826
4.07344,3.0061
4.06076,2.49114
4.08562,3.13086
4.08359,3.06473
4.08588,2.89564
4.10301,2.64947
4.10735,3.24224
4.11328,3.18381
4.11443,2.81993
4.111,2.74661
4.111,2.70043
4.11231,2.56388
4.12128,3.0012
4.12014,2.93059
4.12014,2.50282
4.11753,2.39305
4.13319,3.12354
4.12699,3.06208
4.11785,2.30861
4.1512,2.89384
4.13536,2.63103
4.13841,2.48043
4.14754,3.41472
4.14754,3.36061
4.15211,3.3002
4.15211,3.24609
4.15668,3.18603
4.16277,2.81594
4.15668,2.751
4.15668,2.70771
4.16378,2.98187
4.16581,3.11895
4.17038,3.05944
4.18591,2.90038
4.18865,2.82138
4.18865,2.76728
4.19322,2.70055
4.19322,2.64644
4.20236,2.59306
4.20236,2.53896
4.20236,2.48485
4.19322,2.9747
4.21541,2.42024
4.21149,2.355
4.20845,2.29926
4.20966,2.23055
4.24347,2.7917
4.24118,2.70107
4.23433,2.65912
4.23433,2.60501
4.23433,2.5509
4.2389,2.49861
4.2526,3.184
4.25717,3.12557
4.25717,3.07146
4.25717,3.01844
4.25489,2.97163
4.24803,2.92067
4.24803,2.86656
4.2389,2.44269
4.30894,3.0434
4.30285,2.98495
4.2998,2.92705
4.31503,2.88108
4.30742,2.81884
4.30742,2.76564
4.30467,2.70251
4.34122,3.14192
4.33482,3.07049
4.33482,3.01909
4.33025,2.9785
4.35462,3.26982
4.33939,3.21659
4.36794,3.38437
4.36984,3.33206
4.37796,3.51364
4.37365,3.43848
4.38507,3.59325
4.40448,3.27214
4.40334,3.20153
4.40334,3.14742
4.40334,3.09331
4.40334,3.0392
4.40029,2.9795
4.4159,3.35467
4.41362,2.91233
4.41247,2.84226
4.41247,2.78815
4.41247,2.73404
4.40791,2.68371
4.40105,2.62959
4.42275,3.52377
4.42161,3.45478
4.42465,3.4115
4.42161,3.96341
4.42161,3.90208
4.42161,3.84797
4.42618,3.78756
4.42618,3.73345
4.42618,3.67934
4.42618,3.62523
4.42161,3.59005
4.44902,3.25539
4.44902,3.18644
4.44902,3.13233
4.44902,3.07822
4.44902,3.02411
4.44902,2.97001
4.45967,3.3376
4.46158,2.89481
4.45815,2.82501
4.45815,2.7709
4.45511,2.71264
4.44902,3.50352
4.46272,2.65673
4.46272,2.60263
4.46272,2.54852
4.46424,2.49441
4.47338,2.47007
4.48686,3.39149
4.49339,3.22917
4.49469,3.16703
4.49469,3.11292
4.49469,3.05881
4.49774,3.00218
4.49287,2.94085
4.50726,3.31016
4.49013,2.84751
4.51035,3.68989
4.5084,3.61452
4.5084,3.56042
4.51297,3.50902
4.51297,3.45491
4.49469,2.77311
4.49469,2.59455
4.51297,3.82646
4.51297,3.77235
4.53254,3.38846
4.5424,3.21687
4.54037,3.14112
4.54037,3.08701
4.54037,3.0329
4.53733,2.97608
4.54798,3.31428
4.54951,3.51087
4.54494,3.46037
4.56256,2.94017
4.56908,2.85051
4.56778,2.78837
4.56778,2.73426
4.56778,2.67195
4.55864,3.40086
4.57143,2.63254
4.58605,3.17797
4.58605,3.12387
4.58605,3.06976
4.58605,3.01565
4.60584,2.96085
4.60432,2.8988
4.61737,2.83358
4.61346,2.76895
4.61346,2.71592
4.62716,2.67049
4.62716,3.50106
4.63376,3.2166
4.63173,3.14124
4.63173,3.08714
4.63173,3.03303
4.63173,3.44425
4.63173,3.39014
4.63173,3.33604
4.62716,3.29274
4.64695,2.96271
4.64543,2.89507
4.66142,2.82204
4.65913,2.7517
4.66957,2.68369
4.66522,2.61553
4.68002,2.55771
4.7022,2.80587
4.70024,2.73282
4.7071,2.65978
4.70024,2.61648
4.71943,2.98986
4.70938,2.93574
4.70938,2.88163
4.70938,2.56509
4.72491,3.25392
4.72308,3.18105
4.71852,3.13595
4.71852,3.08185
4.71395,3.04396
4.73874,3.39493
4.72765,3.33076
4.75277,3.81642
4.75049,3.74526
4.75049,3.69116
4.75049,3.63813
4.74821,3.58239
4.75049,3.52342
4.74821,3.47418
4.75963,5.0006
4.76166,4.26328
4.75963,4.1868
4.75963,4.1327
4.75963,4.07859
4.75963,4.02448
4.75963,3.97037
4.75963,3.91626
4.75658,3.86648
4.76876,4.68523
4.76876,4.60887
4.76876,4.55476
4.76876,4.50065
4.76876,4.44654
4.76876,4.39243
4.76876,4.33832
4.77561,4.93966
4.76876,4.88374
4.77561,4.82423
4.77561,4.77012
4.78589,3.41336
4.78886,3.79293
4.78703,3.72223
4.78703,3.66812
4.78703,3.61401
4.78703,3.5599
4.78703,3.50579
4.79921,3.47695
4.79617,3.35358
4.79617,3.29947
4.79617,3.24536
4.79617,3.19125
4.79617,3.13714
4.79617,3.08304
4.79617,3.02893
4.79617,2.97482
4.78886,2.91421
4.7916,5.00191
4.79312,4.26693
4.7916,4.19659
4.7916,4.14248
4.7916,4.08837
4.7916,4.03426
4.7916,3.98015
4.7916,3.92604
4.7916,3.87194
4.79617,2.83486
4.79617,4.69981
4.79617,4.6457
4.79617,4.59159
4.79617,4.51313
4.79617,4.46173
4.79617,4.40762
4.79617,4.35351
4.83474,3.41568
4.84388,3.58162
4.84185,3.50731
4.84185,3.46619
4.84388,3.31108
4.84185,3.23677
4.8388,3.18752
4.84185,3.00626
4.85403,3.71691
4.85098,3.65667
4.85829,3.8255
4.85098,3.76921
4.86012,3.92434
4.85555,3.87744
4.8624,3.12804
4.86621,3.39408
4.87839,3.04419
4.88752,3.58529
4.88448,3.52216
4.88752,3.47707
4.88752,3.31475
4.88752,3.26064
4.88448,3.20653
4.886,2.97927
4.88448,2.91524
4.90782,2.85846
4.92798,3.63018
4.92798,3.41375
4.92407,3.35159
4.92798,3.1432
4.92407,3.08105
4.92407,3.02694
4.93625,3.56552
4.9332,3.50528
4.93016,3.46271
4.93625,3.29498
4.9332,3.23473
4.93016,3.19216
4.9332,2.97609
4.92863,2.9144
4.93625,2.82784
4.96061,3.85377
4.96061,3.79967
4.96061,3.74556
4.96061,3.69145
4.97279,3.63772
4.97177,3.3822
4.97496,3.10771
4.97203,3.0335
4.97888,3.5746
4.97888,3.52049
4.97888,3.46638
