Frequency,Absorbance
3.00084,1.16515
2.9995,1.10391
2.99503,1.07223
2.99507,1.05956
3.00985,1.2074
3.00839,1.18628
3.00396,1.13982
3.00401,1.12293
3.02659,1.21167
3.02664,1.19478
3.02669,1.17788
3.04491,1.19482
3.04496,1.17793
3.04501,1.16104
3.04047,1.15258
3.05421,1.13995
3.05426,1.12517
3.05868,1.17375
3.06331,1.15264
3.06343,1.11253
3.07251,1.13155
3.07261,1.09777
3.07266,1.08299
3.08171,1.11046
3.08336,1.06683
3.09091,1.08937
3.10162,1.07251
3.10015,1.05561
3.11837,1.07255
3.11842,1.05566
3.11846,1.04299
3.13814,1.08105
3.13667,1.06204
3.13215,1.04725
3.15484,1.09799
3.15489,1.0811
3.15036,1.06842
3.16539,1.1318
3.16393,1.11068
3.17293,1.15716
3.16857,1.08958
3.18202,1.17407
3.18212,1.14029
3.18217,1.1234
3.17765,1.1065
3.1911,1.19099
3.1912,1.15721
3.20019,1.20791
3.20028,1.17623
3.19581,1.14455
3.21079,1.22483
3.20936,1.19526
3.21985,1.25019
3.22739,1.27555
3.22754,1.22698
3.22301,1.21219
3.23647,1.29246
3.23658,1.25868
3.23662,1.2439
3.24708,1.30938
3.24565,1.27982
3.26381,1.31787
3.26385,1.30309
3.28358,1.32637
3.28211,1.30736
3.30027,1.34331
3.30033,1.32642
3.30038,1.30952
3.29586,1.29262
3.31398,1.34334
3.3186,1.32647
3.31865,1.30957
3.32782,1.29904
3.3369,1.31807
3.34761,1.3012
3.34615,1.28009
3.3416,1.27163
3.35535,1.259
3.35539,1.24421
3.35981,1.29279
3.36443,1.27591
3.36458,1.22735
3.37363,1.25482
3.37368,1.23793
3.37529,1.21119
3.3874,1.23374
3.39202,1.21686
3.39207,1.19997
3.4103,1.21269
3.41036,1.1958
3.4286,1.20429
3.42865,1.1874
3.42411,1.17894
3.43938,1.16631
3.44693,1.18745
3.44859,1.141
3.44254,1.12831
3.45613,1.16636
3.45628,1.11568
3.45633,1.09879
3.45637,1.08401
3.46533,1.14527
3.46538,1.12838
3.46709,1.06504
3.47458,1.10729
3.47463,1.09039
3.47477,1.04183
3.48381,1.07353
3.48387,1.05663
3.49458,1.03977
3.48852,1.02709
3.50227,1.01445
3.50231,0.99967
3.51136,1.02715
3.51302,0.98351
3.52056,1.00606
3.53127,0.98919
3.52981,0.96807
3.54343,0.99767
3.54806,0.97657
3.54811,0.95968
3.54815,0.94701
3.56638,0.95972
3.56644,0.94283
3.56648,0.92805
3.58467,0.95555
3.58472,0.93866
3.58477,0.92177
3.59395,0.90701
3.60295,0.95138
3.60301,0.93448
3.60306,0.91759
3.62124,0.9472
3.62129,0.93031
3.62134,0.91342
3.62138,0.90075
3.63494,0.94724
3.63956,0.93036
3.63961,0.91347
3.63966,0.89869
3.65936,0.93041
3.6579,0.90929
3.65337,0.89661
3.67606,0.94735
3.67611,0.93046
3.67159,0.91355
3.69432,0.95162
3.69437,0.93473
3.7126,0.94744
3.71265,0.93055
3.73085,0.95594
3.73089,0.94116
3.72637,0.92637
3.75062,0.96444
3.74915,0.94543
3.76737,0.96448
3.76741,0.95181
3.78714,0.97298
3.78568,0.95186
3.79467,0.99834
3.80386,0.98147
3.80391,0.96669
3.79938,0.9519
3.81442,1.01528
3.81296,0.99416
3.83112,1.03222
3.83117,1.01533
3.83121,1.00055
3.84172,1.04914
3.84926,1.0745
3.84483,1.02803
3.84948,1.00271
3.85987,1.09142
3.85843,1.06185
3.85393,1.04073
3.86741,1.11678
3.86318,1.00274
3.87801,1.1337
3.87812,1.09991
3.87208,1.083
3.88707,1.15906
3.89456,1.20131
3.89461,1.18442
3.89476,1.13374
3.89481,1.11896
3.8903,1.09995
3.89035,1.08305
3.8904,1.06616
3.89044,1.05349
3.89059,1.00282
3.90364,1.21822
3.9038,1.16755
3.89928,1.15064
3.91273,1.23514
3.91283,1.20136
3.91288,1.18446
3.92344,1.21828
3.93098,1.24363
3.94006,1.26055
3.94016,1.22677
3.93563,1.21409
3.94915,1.27747
3.94925,1.24368
3.95833,1.2606
3.96743,1.27329
3.96903,1.24655
3.98574,1.26067
3.98579,1.24378
4.00404,1.25228
4.00409,1.23538
4.0148,1.21852
4.02235,1.23965
4.02401,1.19321
4.03155,1.21856
4.04226,1.2017
4.0408,1.18058
4.04084,1.16791
4.05444,1.20173
4.05906,1.18485
4.05911,1.16796
4.05916,1.15107
4.07737,1.17223
4.07742,1.15534
4.07747,1.13845
4.07752,1.12156
4.08672,1.10047
4.09114,1.15116
4.09576,1.13428
4.09581,1.11738
4.09591,1.0836
4.105,1.10052
4.1051,1.06673
4.11418,1.08365
4.11428,1.05198
4.12337,1.06678
4.13256,1.04991
4.13261,1.03302
4.14164,1.06683
4.15083,1.04996
4.15088,1.03307
4.15992,1.06688
4.1691,1.05001
4.16915,1.03312
4.17819,1.06693
4.1889,1.05006
4.18744,1.02894
4.1829,1.02049
4.18752,1.00361
4.19796,1.07543
4.20562,1.05855
4.21618,1.09237
4.21471,1.07336
4.23288,1.1093
4.23293,1.09241
4.2284,1.07973
4.25265,1.1178
4.25119,1.09668
4.24664,1.08822
4.26934,1.13474
4.2694,1.11785
4.26944,1.10307
4.28914,1.13479
4.28767,1.11578
4.28314,1.10521
4.30736,1.15173
4.3059,1.13272
4.30136,1.12215
4.32561,1.16022
4.31957,1.14332
4.3438,1.18561
4.34234,1.16449
4.34239,1.14971
4.3605,1.20255
4.36055,1.18566
4.3606,1.17088
4.35607,1.15608
4.38025,1.21949
4.37879,1.19837
4.37426,1.18569
4.39847,1.23643
4.397,1.21743
4.39247,1.20686
4.41669,1.25337
4.41522,1.23437
4.41069,1.2238
4.43344,1.25342
4.43349,1.23653
4.44266,1.22388
4.45323,1.25347
4.45177,1.23235
4.46996,1.26196
4.47001,1.24507
4.47006,1.22818
4.4701,1.21551
4.48828,1.24512
4.48833,1.22823
4.48838,1.21133
4.49757,1.19447
4.50204,1.22826
4.50666,1.21138
4.51737,1.19452
4.51589,1.17762
4.53413,1.19034
4.53418,1.17345
4.55241,1.18617
4.55246,1.16927
4.56164,1.15452
4.5707,1.18199
4.57075,1.1651
4.58146,1.14683
4.58902,1.16515
4.59822,1.14406
4.60731,1.16097
4.61649,1.14411
4.6271,1.16103
4.63021,1.13992
4.64383,1.16952
4.64388,1.15263
4.6621,1.16957
4.66215,1.15267
4.68189,1.16962
4.68043,1.15061
4.69862,1.17811
4.69867,1.16122
4.69871,1.14855
4.71841,1.17816
4.71695,1.15915
4.71241,1.14858
4.73666,1.18666
4.73062,1.16975
4.73066,1.15708
4.75338,1.19515
4.75343,1.17825
4.77163,1.20364
4.77168,1.18675
4.7899,1.20369
4.78995,1.1868
4.79,1.17202
4.80817,1.20374
4.80822,1.18896
4.81878,1.22066
4.82645,1.20379
4.837,1.2376
4.83554,1.21859
4.8537,1.25454
4.85375,1.23764
4.84922,1.22496
4.87347,1.26303
4.87201,1.24403
4.89167,1.28842
4.8902,1.26941
4.88568,1.25462
4.90989,1.30536
4.90842,1.28635
4.90389,1.27578
4.92659,1.3223
4.92664,1.30541
4.92211,1.29272
4.93567,1.33921
4.94486,1.32235
4.94033,1.30966
4.95542,1.35616
4.95395,1.33715
4.97211,1.37309
4.97217,1.3562
4.96764,1.34352
4.9812,1.39001
4.99181,1.40693
4.99037,1.37737
4.98586,1.36046
5.00851,1.42387
5.00856,1.40697
5.00403,1.39429
5.01759,1.44078
5.0282,1.4577
5.02677,1.42814
5.02225,1.41123
5.0449,1.47464
5.04495,1.45775
5.04043,1.44084
5.05398,1.49156
5.06307,1.50847
5.06316,1.4768
5.07368,1.52539
5.07377,1.49302
5.09179,1.57612
5.09034,1.555
5.09039,1.5381
5.09044,1.52121
5.09049,1.50432
5.08596,1.49164
5.08601,1.47475
5.09933,1.60147
5.10994,1.61839
5.11004,1.58461
5.10858,1.56349
5.10405,1.55081
5.10409,1.53814
5.10874,1.51282
5.11748,1.64375
5.12656,1.66067
5.12666,1.62688
5.12671,1.6121
5.1222,1.59309
5.12244,1.51285
5.13565,1.67758
5.13574,1.64591
5.14473,1.6945
5.14483,1.66283
5.15382,1.71142
5.15391,1.67974
5.16442,1.72834
5.16452,1.69596
5.17196,1.75369
5.18257,1.77061
5.18114,1.74105
5.17663,1.71992
5.19919,1.81289
5.19924,1.796
5.19929,1.7791
5.19934,1.76432
5.19481,1.74953
5.20822,1.8467
5.20828,1.8298
5.21716,1.91429
5.21721,1.8974
5.21726,1.8805
5.21731,1.86361
5.21746,1.81294
5.21751,1.79816
5.213,1.77914
5.22614,1.96499
5.22619,1.9481
5.22624,1.9312
5.2265,1.84674
5.22198,1.82984
5.23695,1.91434
5.23549,1.89322
5.23096,1.88054
5.23101,1.86365
5.2444,1.96926
5.24445,1.95237
5.2445,1.93759
5.26418,1.97353
5.26272,1.95242
5.25819,1.93973
5.27324,1.9989
5.28093,1.97358
5.27641,1.95668
5.29149,2.00739
5.29003,1.98627
5.30973,2.01589
5.30828,1.99477
5.30375,1.98209
5.32646,2.02438
5.32651,2.00748
5.32656,1.99059
5.33574,1.97584
5.34478,2.00753
5.34483,1.99064
5.35402,1.97377
5.35407,1.95688
5.35854,1.99068
5.36325,1.94213
5.37231,1.9696
5.37236,1.95271
5.37397,1.92315
5.38317,1.90065
5.38605,1.95697
5.39068,1.93586
5.39073,1.91897
5.40145,1.89789
5.40442,1.92323
5.40914,1.87468
5.41819,1.90215
5.41824,1.88526
5.41831,1.86204
5.42902,1.84728
5.4365,1.88953
5.43655,1.87264
5.44574,1.85577
5.44579,1.83888
5.44583,1.82621
5.45625,1.90648
5.45479,1.88536
5.45484,1.86847
5.45947,1.84736
5.45951,1.8347
5.47297,1.91497
5.47302,1.89808
5.47307,1.88118
5.49119,1.93191
5.49124,1.91502
5.49129,1.89812
5.49134,1.88123
5.50028,1.94882
5.51099,1.93196
5.50952,1.91295
5.505,1.89816
5.50505,1.88127
5.52923,1.94046
5.52777,1.92145
5.54743,1.96584
5.54597,1.94472
5.54144,1.93204
5.56567,1.97434
5.56421,1.95533
5.55967,1.94476
5.57321,1.99969
5.5823,2.01661
5.5824,1.98283
5.57788,1.96592
5.57792,1.95325
5.5928,2.06731
5.59134,2.0462
5.59139,2.0293
5.59301,1.99975
5.60186,2.09268
5.61107,2.06736
5.60961,2.04836
5.60509,2.03356
5.60972,2.01246
5.60518,2.004
5.62008,2.10962
5.61862,2.0885
5.62909,2.15187
5.62763,2.13075
5.62781,2.07163
5.62342,2.0125
5.63663,2.17723
5.63683,2.10966
5.63688,2.09277
5.64719,2.21104
5.64573,2.18992
5.64733,2.16177
5.6413,2.14346
5.64591,2.12869
5.64149,2.08011
5.65467,2.25329
5.65472,2.2364
5.66528,2.27021
5.66543,2.21953
5.66397,2.20053
5.65944,2.18574
5.65948,2.17307
5.67297,2.24489
5.682,2.2787
5.68205,2.26181
5.68215,2.23014
5.69276,2.24495
5.70177,2.2872
5.70031,2.26608
5.70949,2.25132
5.71989,2.33792
5.71843,2.3168
5.71848,2.29991
5.71854,2.28302
5.71859,2.26613
5.72738,2.38017
5.72743,2.36328
5.73611,2.51533
5.73621,2.48155
5.73626,2.46466
5.73631,2.44776
5.73636,2.43087
5.73641,2.41398
5.73646,2.39709
5.73662,2.34641
5.73667,2.32952
5.73215,2.31262
5.73219,2.29995
5.74671,2.53225
5.74682,2.49847
5.74717,2.38023
5.74113,2.36332
5.75451,2.47315
5.75456,2.45626
5.75461,2.43937
5.75466,2.42248
5.7547,2.4077
5.76344,2.54074
5.76349,2.52385
